gene,genename,pred.perf.R2,n.snps.in.model,pred.perf.pval,cor,pred.perf.qval
ENSRNOG00000001342,Wdr66,0.844360559308968,3,7.50260786970369e-93,0.918890939833976,1.24311367569717e-89
ENSRNOG00000020624,Acadsb,0.8292182157882,3,2.60203217787738e-88,0.910614197005625,2.15566496416879e-85
ENSRNOG00000060523,AABR07044362.6,0.820292015204841,8,8.0685122067667e-86,0.905699737884936,4.45626287150265e-83
ENSRNOG00000058006,Sncg,0.816704514835729,6,7.47273039953495e-85,0.903717054633655,3.09540812867605e-82
ENSRNOG00000060045,Pi4ka,0.81528222732996,3,1.78445961345534e-84,0.902929801994574,5.91337355687558e-82
ENSRNOG00000047706,LOC103690108,0.81469643864685,22,2.54893023887436e-84,0.902605361521219,7.03890810007089e-82
ENSRNOG00000029386,RT1-N2,0.796601200056682,8,9.19289034733385e-80,0.892525181749334,2.17596865905443e-77
ENSRNOG00000048194,LOC100912380,0.785445502624672,3,3.7607085811511e-77,0.886253633349208,7.78893877424063e-75
ENSRNOG00000011944,Snx10,0.783880474365216,3,8.52689792066269e-77,0.885370247052168,1.56981021363001e-74
ENSRNOG00000060527,AABR07035717.1,0.770462062273338,2,7.54311912712038e-74,0.877759683668223,1.249826021456e-71
ENSRNOG00000048043,F2r,0.767963038472044,3,2.55447426047329e-73,0.876335003564301,3.84775527094176e-71
ENSRNOG00000050983,Hpcal4,0.757469144139107,2,3.72701167807872e-71,0.870327032867018,5.14609860438401e-69
ENSRNOG00000007003,Mei1,0.756480438553242,6,5.89402713376434e-71,0.869758839307335,7.51220402513394e-69
ENSRNOG00000003147,Sqstm1,0.749993543475737,3,1.13950127213654e-69,0.866021676100395,1.34860689154248e-67
ENSRNOG00000000841,Ddx39b,0.745408080055894,14,8.83156154674529e-69,0.863370187147955,9.7553945038704e-67
ENSRNOG00000021663,Vxn,0.742240247720129,4,3.55739010109635e-68,0.861533660236284,3.68391927952152e-66
ENSRNOG00000019416,Zfp61,0.741352126703046,2,5.24133113010508e-68,0.861018075712146,5.10847500107379e-66
ENSRNOG00000004763,Sirpa,0.731910444392357,2,2.97801887607416e-66,0.855517647037369,2.74128088053906e-64
ENSRNOG00000026109,Prmt1,0.731221168776812,1,3.97727666857849e-66,0.85511471088785,3.46841293798403e-64
ENSRNOG00000033220,Oas1f,0.729212397514917,2,9.20383996303509e-66,0.853939340653022,7.6249615638175e-64
ENSRNOG00000058784,AABR07044362.4,0.72902462289045,9,9.9515949605182e-66,0.853829387460077,7.8518499708389e-64
ENSRNOG00000029336,Zfp180,0.72802068850798,3,1.5096209576236e-65,0.853241283874602,1.13695645454344e-63
ENSRNOG00000027867,Rexo4,0.725106914902865,2,5.01616861980789e-65,0.851532098574602,3.61362337584582e-63
ENSRNOG00000026051,AABR07044362.1,0.717853666515557,6,9.43997306853342e-64,0.847262454328974,6.51715589182766e-62
ENSRNOG00000017295,Sh3glb2,0.705995447131141,3,9.77244960465243e-62,0.840235352226471,6.47682297120222e-60
ENSRNOG00000006989,Vamp2,0.694953858516425,5,6.23268622240609e-60,0.833638925744489,3.97192017145097e-58
ENSRNOG00000017872,LOC688778,0.693527891461866,2,1.05432732501195e-59,0.832783219968958,6.47008958675066e-58
ENSRNOG00000049911,LOC102556347,0.693381387772547,2,1.11268174677013e-59,0.832695255043853,6.58432907658887e-58
ENSRNOG00000016470,Ndufa10l1,0.687757553732569,2,8.63232082920159e-59,0.829311493790222,4.932057953139e-57
ENSRNOG00000038999,RT1-A1,0.686982218738233,9,1.14166726097134e-58,0.828843904929169,6.17048421774976e-57
ENSRNOG00000051688,Syt15,0.686951252933221,6,1.15446918095102e-58,0.828825224599988,6.17048421774976e-57
ENSRNOG00000062158,AC134224.3,0.685202277061598,7,2.16339217643445e-58,0.827769458884295,1.07537683375006e-56
ENSRNOG00000062036,AABR07044362.7,0.685157653828149,8,2.19823676770748e-58,0.827742504543623,1.07537683375006e-56
ENSRNOG00000042978,Ncald,0.685146936117813,3,2.20668832641571e-58,0.827736030457666,1.07537683375006e-56
ENSRNOG00000016326,Cx3cl1,0.684976588766712,4,2.34542334304409e-58,0.827633124498235,1.1103292857526e-56
ENSRNOG00000018168,Klc4,0.683651321435027,2,3.76483394272703e-58,0.826832099906037,1.73277399087666e-56
ENSRNOG00000047848,Cbr1,0.679981754329572,2,1.38159278592525e-57,0.824610061986617,6.18695459417944e-56
ENSRNOG00000012989,Serinc2,0.679641681839121,2,1.55732620969579e-57,0.824403834197246,6.79038802736978e-56
ENSRNOG00000001845,Top3b,0.677899429320624,3,2.87026730033851e-57,0.823346481938573,1.21942847549817e-55
ENSRNOG00000001249,Col6a1,0.677721503126538,5,3.05464019814206e-57,0.823238424228691,1.2653150313168e-55
ENSRNOG00000000787,AABR07044364.1,0.677073791132942,5,3.83054916654073e-57,0.822844937477859,1.54801719454594e-55
ENSRNOG00000001295,S100b,0.674390922411194,4,9.73527403279499e-57,0.821213079785749,3.8405859278727e-55
ENSRNOG00000053055,Otop3,0.668665915368137,3,6.94634879610354e-56,0.817719949229647,2.67662005140234e-54
ENSRNOG00000002932,Wdr19,0.664714219441291,3,2.64418434070813e-55,0.815300079382611,9.95720958293812e-54
ENSRNOG00000029179,Cyp2d3,0.663156734622806,7,4.45889183049104e-55,0.814344358746843,1.64177265920225e-53
ENSRNOG00000015962,Nmnat1,0.661989352841301,2,6.58623266357953e-55,0.813627281278904,2.3723449225658e-53
ENSRNOG00000048258,Cisd2,0.661900966667541,2,6.78328227869961e-55,0.813572963333677,2.391336144402e-53
ENSRNOG00000033206,Entpd5,0.655919365374434,2,4.90025886645165e-54,0.809888489469034,1.6915170578944e-52
ENSRNOG00000012274,Ddi2,0.655743991226289,5,5.19006061804926e-54,0.809780211678632,1.75499121242773e-52
ENSRNOG00000015184,Clic3,0.653639505091255,4,1.03187871293593e-53,0.808479749339002,3.41945777252013e-52
ENSRNOG00000057851,LOC680254,0.653267935632424,4,1.16449205949342e-53,0.808249921517116,3.78324922124112e-52
ENSRNOG00000028064,Fhad1,0.652043843988942,7,1.73269358300651e-53,0.807492318222868,5.52099074757402e-52
ENSRNOG00000026036,Pdyn,0.651094287845653,1,2.35604702978642e-53,0.806904137952987,7.36557543365772e-52
ENSRNOG00000004430,Cep131,0.650721831823263,2,2.65726376556691e-53,0.806673311708813,8.15341413002335e-52
ENSRNOG00000015799,LOC103690120,0.644326296914161,2,2.05629833644103e-52,0.802699381408857,6.19472498517467e-51
ENSRNOG00000062127,AC134224.1,0.643139042432788,7,2.9943336280929e-52,0.801959501741071,8.85953150111889e-51
ENSRNOG00000007925,Pak6,0.641764454563443,7,4.61947835602716e-52,0.801102025065125,1.34281652429511e-50
ENSRNOG00000003536,Rufy1,0.641042998730299,3,5.79603537806551e-52,0.80065160883514,1.64843526230964e-50
ENSRNOG00000010184,Brk1,0.641002729240252,3,5.86982713806243e-52,0.80062646049219,1.64843526230964e-50
ENSRNOG00000007660,Fntb,0.639746657800769,1,8.70349160518693e-52,0.799841645452879,2.4034819244682e-50
ENSRNOG00000059215,Slc66a2,0.638460885300036,2,1.30074596526595e-51,0.799037474277669,3.5331432686675e-50
ENSRNOG00000039357,Niban3,0.637837911651804,4,1.57949163040273e-51,0.798647551584429,4.22108633919496e-50
ENSRNOG00000039744,RT1-CE4,0.637207790386741,12,1.92159917580064e-51,0.798252961401798,5.05383257401942e-50
ENSRNOG00000020480,Fads1,0.635964983286404,2,2.82596540060133e-51,0.797474127032598,7.31619820056251e-50
ENSRNOG00000013260,Calr3,0.635090139496344,4,3.7045543248491e-51,0.796925429068707,9.44324390739102e-50
ENSRNOG00000007338,Fbln2,0.633683560002526,5,5.71711678425237e-51,0.796042436056349,1.43526377629402e-49
ENSRNOG00000014617,Tgoln2,0.632220890754096,2,8.96127323322707e-51,0.795123192187283,2.21612122184467e-49
ENSRNOG00000000804,Mrps18b,0.630733268637201,13,1.41286559359235e-50,0.79418717481284,3.44263145448278e-49
ENSRNOG00000014779,Pdcd4,0.626594771070743,2,4.96631799072718e-50,0.79157739423934,1.19257040870519e-48
ENSRNOG00000000763,RT1-M3-1,0.626003412211961,3,5.93679058915569e-50,0.791203774139103,1.40524576811891e-48
ENSRNOG00000000451,RT1-Ba,0.625771501311995,18,6.36675350005876e-50,0.791057204829079,1.48579291458086e-48
ENSRNOG00000055608,LOC102548695,0.624839578635175,3,8.42858933052511e-50,0.790467949151118,1.93963938302356e-48
ENSRNOG00000036742,Uqcrc2,0.62380154026817,2,1.15109375242441e-49,0.789811078846182,2.61268127449763e-48
ENSRNOG00000020277,Cntnap1,0.621942526193974,3,2.00720358796409e-49,0.788633328102467,4.49426111171073e-48
ENSRNOG00000059770,AABR07044383.1,0.621670516188545,12,2.17683528271354e-49,0.788460852667109,4.80908995321239e-48
ENSRNOG00000003649,Qsox1,0.620893542523148,2,2.74365924368412e-49,0.787967983184056,5.96388599795589e-48
ENSRNOG00000023309,Anks6,0.620859558452395,1,2.77154198772955e-49,0.787946418516129,5.96388599795589e-48
ENSRNOG00000039455,Pcdhgb6,0.619816446147965,2,3.77848858145375e-49,0.78728422196051,8.02642417663675e-48
ENSRNOG00000002506,Cdkl2,0.619158061343324,3,4.5928556189616e-49,0.786865974193397,9.63283891396014e-48
ENSRNOG00000007041,Abcg2,0.618178867386364,2,6.13593872089934e-49,0.786243516594168,1.27083633278888e-47
ENSRNOG00000009533,Erich3,0.616910399016397,4,8.92002240022231e-49,0.785436438559096,1.82464979253025e-47
ENSRNOG00000045924,RT1-T24-3,0.616309450413691,4,1.06452967263727e-48,0.785053788229629,2.15101042396363e-47
ENSRNOG00000020416,Zfr2,0.610720272931448,4,5.44107864814081e-48,0.781485939049097,1.08618926695259e-46
ENSRNOG00000015625,MGC116202,0.610634170435499,2,5.57854103552745e-48,0.781430848146846,1.10037304173122e-46
ENSRNOG00000019693,Clpb,0.608284227807787,4,1.0998502369657e-47,0.77992578352545,2.14394294159076e-46
ENSRNOG00000000386,Pbld1,0.607288299596945,3,1.46469531818069e-47,0.779287045700713,2.82193780712299e-46
ENSRNOG00000053850,Rdh5,0.607042979935649,1,1.57161080376889e-47,0.779129629737984,2.99312151673292e-46
ENSRNOG00000050233,Cchcr1,0.606827547861886,10,1.67185760958227e-47,0.77899136571716,3.14785855795939e-46
ENSRNOG00000002208,Shroom3,0.605984714931299,4,2.12872957655444e-47,0.778450200675225,3.96304572878296e-46
ENSRNOG00000028523,Tctn1,0.604734086717167,2,3.04365702542949e-47,0.777646504986145,5.60340223345211e-46
ENSRNOG00000009421,Ivd,0.604441740969439,10,3.30843186063443e-47,0.777458513986077,6.02392280870328e-46
ENSRNOG00000015072,Ptgr1,0.604273263478043,3,3.47126081188859e-47,0.777350154999691,6.25169834002637e-46
ENSRNOG00000062155,AC134224.2,0.603340796405132,7,4.52698175138851e-47,0.776750150566534,8.06537177775301e-46
ENSRNOG00000008356,Myo5c,0.601414702494245,2,7.81922551940464e-47,0.775509318122126,1.37827056560054e-45
ENSRNOG00000022932,Serhl2,0.599444696331768,5,1.36380472505465e-46,0.77423813929034,2.37863158509107e-45
ENSRNOG00000039463,Pcdhga1,0.596902762175048,2,2.78443335190926e-46,0.772594824066954,4.80578336745618e-45
ENSRNOG00000014297,Sdc4,0.596214935475804,1,3.37506220567348e-46,0.772149555122454,5.76512387503486e-45
ENSRNOG00000010141,Ttll1,0.594871466001661,4,4.90969959904537e-46,0.771279110310698,8.30094317397701e-45
ENSRNOG00000019960,Ino80e,0.594591921845136,8,5.30709228804866e-46,0.771097867877442,8.8821896373438e-45
ENSRNOG00000002225,Scarb2,0.593875339280128,3,6.47736018639359e-46,0.770633076943968,1.07323948818349e-44
ENSRNOG00000056637,Abhd16a,0.593373090429972,12,7.44670134437349e-46,0.770307140321295,1.22163413316856e-44
ENSRNOG00000057542,Zfp488,0.591477124610678,5,1.25871795218402e-45,0.769075499941767,2.04468706915615e-44
ENSRNOG00000053084,Fuz,0.589463226818647,2,2.19241443399418e-45,0.767765085699166,3.52682591966347e-44
ENSRNOG00000011559,Cnn3,0.589427919664166,2,2.21379399199509e-45,0.767742091892952,3.52697564840982e-44
ENSRNOG00000020411,Sec23ip,0.588416044204969,4,2.92260398740809e-45,0.767082814437248,4.61189349533352e-44
ENSRNOG00000018426,NEWGENE_2134,0.588335561183217,2,2.98780498216566e-45,0.767030352191631,4.6703021414633e-44
ENSRNOG00000033809,Mlh1,0.585835927874775,2,5.9160719273615e-45,0.76539919510983,9.16111349949412e-44
ENSRNOG00000000996,Arpc1a,0.581535689088994,6,1.89795005843133e-44,0.762584873367545,2.91178712196664e-43
ENSRNOG00000014090,Retsat,0.581251290792142,4,2.04919498673546e-44,0.762398380633211,3.11498086187309e-43
ENSRNOG00000028622,Pnpla1,0.580771737354896,3,2.33174167112355e-44,0.762083812552725,3.51225747088869e-43
ENSRNOG00000018822,Slc5a5,0.580371239056843,2,2.59705408004563e-44,0.761821001979365,3.8766501571132e-43
ENSRNOG00000014963,Adgrg1,0.579549414159465,4,3.23874731772861e-44,0.761281429012599,4.79134716592287e-43
ENSRNOG00000058852,AABR07044362.5,0.578159440769044,9,4.70051064927478e-44,0.760367964060194,6.89231619964515e-43
ENSRNOG00000002158,Ibsp,0.576031436817567,6,8.29435015303499e-44,0.758967348979893,1.2055246919009e-42
ENSRNOG00000023403,Gtpbp3,0.574380978873617,7,1.28595428534282e-43,0.757879264047788,1.8527903736864e-42
ENSRNOG00000003108,Acbd4,0.574209547873782,4,1.34575036399384e-43,0.75776615645843,1.92222894543686e-42
ENSRNOG00000009377,Nelfb,0.571916421420156,4,2.46742173910905e-43,0.756251559615024,3.49426727536019e-42
ENSRNOG00000007657,Col27a1,0.571834181568992,3,2.52150280711362e-43,0.756197184317022,3.54059331177413e-42
ENSRNOG00000025551,Rgs22,0.570397385090464,2,3.68024096725421e-43,0.755246572379156,5.12422144911138e-42
ENSRNOG00000048232,AABR07044302.1,0.568716952660093,3,5.71804671615341e-43,0.754133245958626,7.89523477988365e-42
ENSRNOG00000005924,Dstn,0.568032705376955,2,6.8384711676464e-43,0.753679444709059,9.36423374598614e-42
ENSRNOG00000019328,Phgdh,0.566782913091133,1,9.47512659418618e-43,0.75284986092257,1.28683773157723e-41
ENSRNOG00000025890,Opa3,0.566657612682015,3,9.78952471956406e-43,0.752766638927374,1.3187275882606e-41
ENSRNOG00000043171,Hdhd2,0.565589238034734,2,1.29262665117255e-42,0.752056672089766,1.72722937998493e-41
ENSRNOG00000004777,Esf1,0.56465375038346,3,1.64788962198815e-42,0.751434461801866,2.18432220977991e-41
ENSRNOG00000026974,Dbndd1,0.561790981267078,3,3.45339745202233e-42,0.749527171800381,4.5412416787685e-41
ENSRNOG00000039698,Prss22,0.561569751793272,6,3.65586824983e-42,0.749379577913137,4.76963791752701e-41
ENSRNOG00000016220,Rpl12,0.561111741279083,2,4.11318710600651e-42,0.749073922439623,5.32435607618168e-41
ENSRNOG00000001304,Bcr,0.560765982574008,2,4.49558081437911e-42,0.748843096098247,5.77423819029287e-41
ENSRNOG00000001311,Rab36,0.559617637805855,2,6.03661288684839e-42,0.748075957243551,7.69393601311694e-41
ENSRNOG00000010821,Ankrd54,0.558436244824537,3,8.16843801557271e-42,0.747285919059457,1.03315698955716e-40
ENSRNOG00000001251,Grifin,0.557613174699015,3,1.00795371716113e-41,0.746735009691534,1.26521769015382e-40
ENSRNOG00000057879,AABR07044408.2,0.557150002945622,6,1.13434492309104e-41,0.746424813993762,1.4131624422697e-40
ENSRNOG00000013387,Tpcn2,0.553424101796022,2,2.92096125979212e-41,0.743924795793246,3.61176591067985e-40
ENSRNOG00000020659,Mrpl4,0.553131988127109,2,3.1447579249555e-41,0.743728437083798,3.85968664956598e-40
ENSRNOG00000018220,Pde4dip,0.552932443142463,7,3.30732324407714e-41,0.743594273204456,4.02936241134311e-40
ENSRNOG00000012811,Spint1,0.552212062201304,8,3.9666084761726e-41,0.743109724200474,4.79730537273068e-40
ENSRNOG00000017895,Eno1,0.551043754007269,2,5.32328953040539e-41,0.742323213975738,6.39145296654885e-40
ENSRNOG00000047732,LOC108348105,0.548944723840287,3,9.01348161966178e-41,0.740908040069945,1.07442566327841e-39
ENSRNOG00000032908,Acaa1a,0.5487793740919,2,9.39429731023545e-41,0.740796445787843,1.11182096971494e-39
ENSRNOG00000004604,Slc38a10,0.548697017432534,2,9.58987915999721e-41,0.740740857137322,1.12691878422733e-39
ENSRNOG00000055647,Rbfa,0.548087281638723,2,1.11690516416782e-40,0.74032917113857,1.30324644983036e-39
ENSRNOG00000017147,Trim6,0.548005319853113,4,1.14001005223039e-40,0.740273814107397,1.32090395129903e-39
ENSRNOG00000016971,Zfp612,0.547035047551076,5,1.45229912816167e-40,0.739618176866331,1.67106052652921e-39
ENSRNOG00000047799,Gnb5,0.546603845587399,3,1.61701178837742e-40,0.739326616312032,1.84775241999989e-39
ENSRNOG00000024000,Cd22,0.546078824819723,4,1.84273228342719e-40,0.738971464144403,2.09125977822499e-39
ENSRNOG00000020703,Sipa1l3,0.544968441102928,2,2.42810924846511e-40,0.738219778320067,2.73684047738697e-39
ENSRNOG00000010616,Ndor1,0.544443852479839,3,2.76546564869711e-40,0.737864386238989,3.09602991825004e-39
ENSRNOG00000015179,Tradd,0.543814822229976,2,3.23170638264955e-40,0.737438012466117,3.59371989179268e-39
ENSRNOG00000024082,Gldn,0.540257789360709,7,7.76819691753542e-40,0.735022305349102,8.58079571921639e-39
ENSRNOG00000011379,Ccndbp1,0.537161718972218,3,1.65757637413212e-39,0.732913172873989,1.81884293164169e-38
ENSRNOG00000040052,RT1-M6-2,0.536641995783305,3,1.88153626955521e-39,0.732558527206738,2.05100917173054e-38
ENSRNOG00000039454,Pcdhgb7,0.535844489397839,2,2.28480940425491e-39,0.732013995356536,2.47432727681919e-38
ENSRNOG00000020702,Cyb561a3,0.53532679461374,2,2.59131325839765e-39,0.731660300012062,2.78803224459453e-38
ENSRNOG00000028176,Elmod2,0.535194203447667,5,2.67616056218067e-39,0.731569684614984,2.860744450449e-38
ENSRNOG00000015003,Pex11a,0.533135058243759,3,4.40864379659018e-39,0.730160981047165,4.65450183248327e-38
ENSRNOG00000024036,Fam98c,0.533133447124757,3,4.41036224877961e-39,0.73015987778346,4.65450183248327e-38
ENSRNOG00000011617,Dguok,0.53095572348687,2,7.45967773701029e-39,0.728667086869491,7.82278825552557e-38
ENSRNOG00000061883,Aqp9,0.530235254314296,2,8.87156850512214e-39,0.728172544328812,9.24489285276318e-38
ENSRNOG00000019708,Ctsf,0.528605789507211,2,1.31171032320775e-38,0.727052810672795,1.35836520918052e-37
ENSRNOG00000045795,LOC100911365,0.528365945902015,3,1.38927232290944e-38,0.72688784960406,1.42974999503376e-37
ENSRNOG00000032261,Cyp2d4,0.52752812789199,5,1.69762466617656e-38,0.726311316097987,1.73630197097717e-37
ENSRNOG00000004333,Flywch1,0.526361619817034,6,2.24281765496527e-38,0.725507835806777,2.2798430895588e-37
ENSRNOG00000011489,R3hdm4,0.525163649153164,2,2.98332908512381e-38,0.724681757154935,3.01408787615908e-37
