ensembl_gene_id	hsapiens_homolog_ensembl_gene	external_gene_name
ENSRNOG00000033395	ENSG00000174937	Or5m3
ENSRNOG00000070901	ENSG00000167378	Irgq
ENSRNOG00000031391	ENSG00000213892	Ceacam16
ENSRNOG00000050129	ENSG00000164520	AABR07000137.1
ENSRNOG00000056886	ENSG00000199095	Mir291b
ENSRNOG00000032625	ENSG00000159915	Zfp108
ENSRNOG00000029315	ENSG00000119231	LOC690251
ENSRNOG00000016356	ENSG00000120053	Got1
ENSRNOG00000028288	ENSG00000180745	Clrn3
ENSRNOG00000015810	ENSG00000071539	Trip13
ENSRNOG00000013596	ENSG00000086189	Dimt1
ENSRNOG00000022863	ENSG00000213171	Lingo4
ENSRNOG00000017538	ENSG00000148814	Lrrc27
ENSRNOG00000009377	ENSG00000188986	Nelfb
ENSRNOG00000010349	ENSG00000157017	Ghrl
ENSRNOG00000027204	ENSG00000171533	Map6
ENSRNOG00000015499	ENSG00000184716	Serinc4
ENSRNOG00000065199	ENSG00000253293	LOC100911668
ENSRNOG00000069410	ENSG00000279486	Or2ag2
ENSRNOG00000069410	ENSG00000188124	Or2ag2
ENSRNOG00000014903	ENSG00000155256	Zfyve27
ENSRNOG00000064304	ENSG00000172769	Or5b107
ENSRNOG00000035530	ENSG00000283926	Mir192
ENSRNOG00000021051	ENSG00000105443	Cyth2
ENSRNOG00000069804	ENSG00000212553	LOC120100325
ENSRNOG00000055569	ENSG00000207445	Snord14b
ENSRNOG00000011160	ENSG00000185518	Sv2b
ENSRNOG00000017748	ENSG00000148826	Nkx6-2
ENSRNOG00000016227	ENSG00000108010	Glrx3
ENSRNOG00000013395	ENSG00000008438	Pglyrp1
ENSRNOG00000004753	ENSG00000125814	Napb
ENSRNOG00000016906	ENSG00000175536	Lipt2
ENSRNOG00000066860	ENSG00000201660	LOC120100366
ENSRNOG00000066860	ENSG00000252689	LOC120100366
ENSRNOG00000066860	ENSG00000206649	LOC120100366
ENSRNOG00000020317	ENSG00000101084	Rab5if
ENSRNOG00000062499	ENSG00000212553	LOC120100326
ENSRNOG00000015691	ENSG00000197852	Inka2
ENSRNOG00000070448	ENSG00000172769	Or5b114
ENSRNOG00000067171	ENSG00000138069	
ENSRNOG00000008463	ENSG00000105784	Rundc3b
ENSRNOG00000008121	ENSG00000081800	Slc13a1
ENSRNOG00000052293	ENSG00000206941	Snord15a
ENSRNOG00000027582	ENSG00000151640	Dpysl4
ENSRNOG00000010595	ENSG00000155636	Rbm45
ENSRNOG00000070096	ENSG00000177174	Or14n1
ENSRNOG00000062311	ENSG00000181761	Or8h10c
ENSRNOG00000062311	ENSG00000181767	Or8h10c
ENSRNOG00000062311	ENSG00000181693	Or8h10c
ENSRNOG00000035532	ENSG00000199065	Mir101-2
ENSRNOG00000009830	ENSG00000165669	Fam204a
ENSRNOG00000012742	ENSG00000170561	Irx2
ENSRNOG00000020337	ENSG00000101082	Sla2
ENSRNOG00000069837	ENSG00000164520	
ENSRNOG00000069135	ENSG00000238622	Snord97
ENSRNOG00000016408	ENSG00000183853	Kirrel1
ENSRNOG00000071210	ENSG00000222788	LOC120100334
