ensembl_gene_id	external_gene_name	transcription_start_site
ENSG00000142611	PRDM16	3069203
ENSG00000157911	PEX10	2412564
ENSG00000142655	PEX14	10474950
ENSG00000149527	PLCH2	2476289
ENSG00000171621	SPSB1	9292894
ENSG00000142583	SLC2A5	9069635
ENSG00000173614	NMNAT1	9943475
ENSG00000162592	CCDC27	3752450
ENSG00000204624	DISP3	11479155
ENSG00000142606	MMEL1	2633016
ENSG00000171729	TMEM51	15153747
ENSG00000037637	FBXO42	16352480
ENSG00000159423	ALDH4A1	18902555
ENSG00000157916	RER1	2391841
ENSG00000157881	PANK4	2526596
ENSG00000048707	VPS13D	12230030
ENSG00000162444	RBP7	9997228
ENSG00000180758	GPR157	9129102
ENSG00000184677	ZBTB40	22451851
ENSG00000131697	NPHP4	5992425
ENSG00000197921	HES5	2530263
ENSG00000055070	SZRD1	16367242
ENSG00000175087	PDIK1L	26111824
ENSG00000162511	LAPTM5	30757774
ENSG00000158014	SLC30A2	26046118
ENSG00000204138	PHACTR4	28369740
ENSG00000142675	CNKSR1	26177491
ENSG00000197245	FAM110D	26159079
ENSG00000130772	MED18	28329040
ENSG00000090020	SLC9A1	27155125
ENSG00000157978	LDLRAP1	25543606
ENSG00000130770	ATP5IF1	28236124
ENSG00000162512	SDC3	30908758
ENSG00000158006	PAFAH2	25998063
ENSG00000126698	DNAJC8	28233029
ENSG00000130766	SESN2	28259518
ENSG00000168528	SERINC2	31413213
ENSG00000196581	AJAP1	4654609
ENSG00000169403	PTAFR	28176690
ENSG00000084628	NKAIN1	31239887
ENSG00000060688	SNRNP40	31296788
ENSG00000171612	SLC25A33	9539465
ENSG00000188910	GJB3	34781214
ENSG00000158161	EYA3	28088610
ENSG00000142684	ZNF593	26169908
ENSG00000121769	FABP3	31373076
ENSG00000142627	EPHA2	16156069
ENSG00000142632	ARHGEF19	16212652
ENSG00000189337	KAZN	14598685
ENSG00000028137	TNFRSF1B	12166991
ENSG00000130939	UBE4B	10032958
ENSG00000127472	PLA2G5	20070194
ENSG00000060656	PTPRU	29236522
ENSG00000163867	ZMYM6	35031945
ENSG00000189280	GJB5	34755047
ENSG00000134698	AGO4	35808016
ENSG00000132881	CPLANE2	16237183
ENSG00000273274	ZBTB8B	32465072
ENSG00000009709	PAX7	18630846
ENSG00000158008	EXTL1	26021775
ENSG00000130940	CASZ1	10796646
ENSG00000163879	DNALI1	37556940
